vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
36A26255,0,4/27/2018 9:22,10,106.66952,10.772121,150.9216231,300,369,92.61082905,122.0398504,0
36A26255,1,4/27/2018 9:22,8,106.66993,10.771392,161.372021,300,19,15.4790067,10.45039789,0
36A26255,2,4/27/2018 9:22,13,106.669975,10.77126,164.3877317,300,10,79.6266232,3.015710709,0
36A26255,3,4/27/2018 9:22,14,106.67017,10.77057,153.2770554,300,18,61.04583738,11.1106763,0
36A26255,4,4/27/2018 9:23,7,106.67042,10.770079,153.2770554,300,44,15.26338402,13.55904667,0
36A26255,0,4/27/2018 9:30,15,106.67119,10.769615,167.1189751,300,6,51.76916915,30.39891931,1
36A26255,1,4/27/2018 9:30,11,106.671295,10.769161,177.7229347,300,10,41.50811882,10.60395962,1
36A26255,2,4/27/2018 9:30,15,106.67131,10.768788,174.7809551,300,10,48.34533246,2.941979604,1
36A26255,3,4/27/2018 9:30,15,106.67135,10.768355,164.2245531,300,9,4.042226622,10.55640201,1
36A26255,4,4/27/2018 9:30,12,106.67136,10.76832,153.4631722,300,1,24.57761472,10.76138082,1
36A26255,5,4/27/2018 9:31,10,106.67146,10.768122,161.1727163,300,35,23.83259949,7.709544097,1
36A26255,6,4/27/2018 9:31,3,106.67153,10.767919,162.7368268,300,9,40.73105566,1.564110499,1
36A26255,7,4/27/2018 9:31,12,106.67164,10.767569,169.6236292,300,21,24.41236142,6.886802321,1
36A26255,8,4/27/2018 9:31,4,106.67168,10.767353,166.3699009,300,8,83.95230337,3.253728243,1
36A26255,9,4/27/2018 9:32,10,106.67186,10.766619,168.3007854,300,48,21.68308764,1.930884486,1
36A26255,10,4/27/2018 9:32,12,106.6719,10.766428,165.2016811,300,6,45.17987354,3.099104322,1
36A26255,11,4/27/2018 9:32,14,106.672005,10.766035,165.2016811,300,10,20.35602863,13.25078787,1
36A26255,0,4/27/2018 9:45,22,106.67201,10.765852,349.2336541,300,752,23.53770846,170.7811852,2
36A26255,1,4/27/2018 9:45,32,106.67197,10.76606,343.8791376,300,3,75.19782603,5.354516503,2
36A26255,2,4/27/2018 9:45,18,106.67178,10.76671,343.8791376,300,10,99.49035363,7.606123063,2
36A26255,0,4/27/2018 9:46,9,106.671646,10.767595,277.9973308,300,38,247.7874999,73.48792982,3
36A26255,1,4/27/2018 9:46,22,106.6694,10.767907,272.1969494,300,44,95.10714061,5.800381422,3
36A26255,2,4/27/2018 9:47,36,106.66853,10.76794,285.5786872,300,10,41.97895059,13.38173783,3
36A26255,3,4/27/2018 9:47,24,106.66816,10.768042,297.8635578,300,5,27.2224763,12.28487058,3
36A26255,4,4/27/2018 9:47,11,106.66794,10.768157,268.0692076,300,6,6.557996235,29.79435025,3
36A26255,5,4/27/2018 9:47,8,106.66788,10.768155,268.0692076,300,3,91.61128597,6.2511417,3
36A26255,0,4/27/2018 9:47,17,106.66705,10.768037,328.9672625,300,24,48.96844646,67.14919664,4
36A26255,1,4/27/2018 9:47,26,106.66682,10.768415,333.8470588,300,8,54.80906125,4.879796297,4
36A26255,2,4/27/2018 9:48,19,106.6666,10.768858,333.8470588,300,9,60.94645918,0.616996607,4
36A26255,0,4/27/2018 10:04,22,106.66548,10.771585,160.1024612,300,937,71.01793168,8.441730536,5
36A26255,1,4/27/2018 10:04,27,106.6657,10.770984,158.4207355,300,10,68.69638311,1.681725664,5
36A26255,2,4/27/2018 10:05,19,106.66593,10.770409,157.9767076,300,10,79.09358105,0.444027935,5
36A26255,3,4/27/2018 10:05,16,106.6662,10.769749,157.5385368,300,15,34.50026928,0.438170751,5
36A26255,4,4/27/2018 10:05,12,106.66632,10.769462,157.2428528,300,10,39.75370625,0.295683983,5
36A26255,5,4/27/2018 10:05,9,106.66646,10.769132,153.5017237,300,10,44.29946032,3.741129124,5
36A26255,6,4/27/2018 10:05,20,106.66664,10.768775,153.5017237,300,10,94.61420264,0.697619102,5
36A26255,0,4/27/2018 10:07,5,106.667015,10.768008,92.94214302,300,72,66.72374997,61.25719978,6
36A26255,1,4/27/2018 10:07,11,106.667625,10.767977,73.71339875,300,41,5.123806867,19.22874427,6
36A26255,2,4/27/2018 10:07,10,106.66767,10.76799,88.81757672,300,2,26.76887169,15.10417797,6
36A26255,3,4/27/2018 10:07,21,106.667915,10.767995,93.98020038,300,6,68.44043506,5.162623659,6
36A26255,4,4/27/2018 10:08,27,106.66854,10.767952,92.08880971,300,10,133.3591071,1.891390668,6
36A26255,5,4/27/2018 10:08,29,106.66976,10.767908,92.83191216,300,20,100.6226887,0.743102446,6
36A26255,6,4/27/2018 10:08,33,106.67068,10.767863,92.8948103,300,10,17.50057188,0.062898144,6
36A26255,7,4/27/2018 10:08,31,106.67084,10.767855,92.79155272,300,2,61.24645374,0.103257583,6
36A26255,8,4/27/2018 10:08,20,106.6714,10.767828,92.94731463,300,9,60.16107648,0.155761917,6
36A26255,9,4/27/2018 10:08,26,106.67195,10.7678,91.90629954,300,10,86.34580708,1.041015094,6
36A26255,10,4/27/2018 10:09,28,106.67274,10.767774,91.90629954,300,15,0,0,6
49A04047,0,4/27/2018 9:13,6,106.67144,10.770006,183.5062512,700,10,143.8185984,48.02190119,7
49A04047,1,4/27/2018 9:14,8,106.67136,10.768715,168.1639187,700,50,58.94792966,15.34233255,7
49A04047,2,4/27/2018 9:14,11,106.67147,10.768196,168.1639187,700,40,26.28037177,19.04551053,7
49A04047,0,4/27/2018 9:15,44,106.67144,10.7679615,269.7284706,700,10,104.8688523,82.51904138,8
49A04047,1,4/27/2018 9:15,20,106.67048,10.767957,271.8826368,700,10,87.43752126,2.154166223,8
49A04047,2,4/27/2018 9:15,8,106.66968,10.767983,271.8826368,700,10,37.73509615,8.23659007,8
49A04047,0,4/27/2018 9:23,10,106.66958,10.77185,147.2393193,700,260,41.57299319,54.98444392,9
49A04047,1,4/27/2018 9:23,5,106.669785,10.771535,152.647256,700,10,94.39149652,5.407936677,9
49A04047,2,4/27/2018 9:23,6,106.67018,10.77078,151.4222565,700,30,63.3438009,1.224999477,9
49A04047,3,4/27/2018 9:24,5,106.670456,10.770279,151.4222565,700,30,47.84720527,6.460234477,9
49A04047,0,4/27/2018 9:26,7,106.67062,10.76988,143.2594369,700,110,111.8587021,14.62305412,10
49A04047,1,4/27/2018 9:26,9,106.67123,10.769072,161.3718884,700,50,10.31934574,18.11245148,10
49A04047,2,4/27/2018 9:27,14,106.67126,10.768984,161.3718884,700,10,45.17837346,10.23305272,10
49A04047,0,4/27/2018 9:27,5,106.67132,10.768582,166.4558482,700,10,201.8021044,5.149092939,11
49A04047,1,4/27/2018 9:28,15,106.67175,10.766817,170.1109214,700,70,40.96479561,3.655073294,11
49A04047,2,4/27/2018 9:28,17,106.671814,10.766454,170.1109214,700,10,64.40364128,1.447734336,11
49A04047,0,4/27/2018 9:36,14,106.671936,10.766015,348.2409228,700,470,51.77804683,333.3641944,12
49A04047,1,4/27/2018 9:36,5,106.67184,10.766471,349.3448916,700,10,107.0124982,1.103968846,12
49A04047,2,4/27/2018 9:37,9,106.67166,10.767417,349.3448916,700,50,13.27722791,5.90525532,12
49A04047,0,4/27/2018 9:37,9,106.67165,10.767536,292.0252758,700,10,96.71506184,63.2248712,13
49A04047,1,4/27/2018 9:38,29,106.67083,10.767864,273.4995045,700,20,188.2434633,18.52577126,13
49A04047,2,4/27/2018 9:39,31,106.66911,10.767968,271.0535037,700,60,72.10885848,2.446000815,13
