y,x,ts,trip
10.7677,106.6672,1524827103,4
10.7687,106.66668,1524827133,4
10.76972,106.66618,1524827163,4
10.765512,106.66778,1524819560,5
10.766058,106.667656,1524819570,5
10.766694,106.667496,1524819580,5
10.767138,106.6674,1524819590,5
10.767723,106.66724,1524819670,6
10.768019,106.66711,1524819680,6
10.768329,106.66694,1524819690,6
10.768887,106.66667,1524819710,6
10.77013,106.66612,1524819740,7
10.770395,106.66603,1524819750,7
10.7709675,106.665825,1524819760,7
10.771745,106.665535,1524819780,7
10.7718115,106.66533,1524830700,8
10.771184,106.665565,1524830710,8
10.770497,106.66584,1524830720,8
10.7699795,106.66604,1524830730,8
10.769503,106.666214,1524830740,8
10.769249,106.66633,1524830750,8
10.76571,106.66995,1524804868,11
10.76613,106.669785,1524804888,11
10.769633,106.66616,1524805210,15
10.769332,106.66626,1524805220,15
10.768826,106.66645,1524805240,15
10.768447,106.666595,1524805290,15
10.76835,106.666695,1524805361,15
10.768927,106.66644,1524805412,15
10.769033,106.666435,1524805422,15
10.769147,106.66642,1524805432,15
10.769227,106.6663,1524805442,15
10.769373,106.66627,1524805453,15
10.769303,106.666084,1524805472,15
10.769488,106.66598,1524805483,15
10.770298,106.665825,1524805532,15
10.770617,106.666115,1524805552,15
10.770924,106.66605,1524805572,15
10.770965,106.66568,1524805622,15
10.771044,106.6656,1524805633,15
10.771008,106.66568,1524805672,15
10.770875,106.66578,1524805703,15
10.770635,106.666084,1524805713,15
10.771116,106.66582,1524805744,15
10.7713,106.66549,1524805794,15
10.771678,106.66531,1524805822,15
10.771782,106.66537,1524805843,15
10.76603,106.66445,1524817315,16
10.766358,106.66511,1524817325,16
10.76663,106.6658,1524817334,16
10.768688,106.66902,1524817377,17
10.769023,106.66974,1524817387,17
10.769345,106.67037,1524817398,17
10.769526,106.67078,1524817408,17
10.76961,106.6709,1524817448,17
10.769576,106.67051,1524794279,18
10.769237,106.66981,1524794294,18
10.768821,106.66903,1524794309,18
10.76793,106.66922,1524798402,22
10.768167,106.668,1524798432,22
10.770572,106.67235,1524864869,23
10.770759,106.67112,1524864899,23
10.771679,106.67068,1524864914,23
10.772103,106.66955,1524865004,24
10.770852,106.67,1524865019,24
10.766858,106.66553,1524865094,26
10.766472,106.66483,1524865109,26
10.76807,106.66819,1524810364,30
10.768025,106.66746,1524810385,30
10.771798,106.66537,1524810465,31
10.772038,106.66528,1524810484,31
10.767299,106.666275,1524841291,32
10.766865,106.66546,1524841311,32
10.766343,106.66452,1524841331,32
10.769725,106.67076,1524849821,34
10.769452,106.670265,1524849831,34
10.76932,106.66999,1524849841,34
10.768975,106.669304,1524849861,34
10.7687,106.66881,1524849871,34
10.768517,106.66841,1524849881,34
10.768091,106.667465,1524849961,35
10.767531,106.66668,1524849991,35
10.767467,106.66647,1524850001,35
10.767362,106.666214,1524850011,35
10.770654,106.672485,1524864350,37
10.77034,106.67196,1524864360,37
10.770128,106.67162,1524864370,37
10.768733,106.66875,1524864430,38
10.768385,106.66795,1524864440,38
10.767941,106.667145,1524864450,38
10.770321,106.66599,1524843960,41
10.77144,106.665596,1524843975,41
10.766385,106.667366,1524837100,42
10.76755,106.667015,1524837130,42
10.766202,106.66461,1524790337,51
10.7667,106.66534,1524790357,51
10.767215,106.666534,1524790377,51
10.767464,106.66701,1524790427,51
10.767642,106.66734,1524790437,51
10.76788,106.66788,1524790447,51
