vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
36A26255,0,2018-04-27 09:30:02,15.0,106.67119,10.769615,167.11897506070497,300,6,51.769169151637726,30.398919306114237,0,1524821402
36A26255,1,2018-04-27 09:30:12,11.0,106.671295,10.769161,177.72293467861735,300,10,41.50811881771021,10.60395961791238,0,1524821412
36A26255,2,2018-04-27 09:30:22,15.0,106.67131,10.768788,174.78095507412326,300,10,48.3453324613778,2.941979604494094,0,1524821422
36A26255,3,2018-04-27 09:30:31,15.0,106.67135,10.768355,164.22455306012057,300,9,4.042226622294395,10.556402014002686,0,1524821431
36A26255,4,2018-04-27 09:30:32,12.0,106.67136,10.76832,153.46317223987205,300,1,24.577614715068577,10.761380820248519,0,1524821432
36A26255,5,2018-04-27 09:31:07,10.0,106.67146,10.768122,161.1727163368253,300,35,23.832599486031768,7.709544096953238,0,1524821467
36A26255,6,2018-04-27 09:31:16,3.0,106.67153,10.767919,162.73682683605762,300,9,40.731055657748264,1.5641104992323278,0,1524821476
36A26255,7,2018-04-27 09:31:37,12.0,106.67164,10.767569,162.73682683605762,300,21,24.412361415802344,6.8868023211467175,0,1524821497
50LD10138,0,2018-04-27 11:28:14,30.311,106.66893,10.768725,57.2256121639201,200,49,152.94585446027415,4.455750192418186,1,1524828494
50LD10138,1,2018-04-27 11:28:43,19.13,106.670105,10.769473,67.97468046020069,200,29,1.7691690120494228,10.74906829628059,1,1524828523
50LD10138,2,2018-04-27 11:28:44,3.529,106.67012,10.769479,61.90809451543035,200,1,11.160258505856737,6.066585944770338,1,1524828524
50LD10138,3,2018-04-27 11:29:22,5.6,106.67021,10.7695265,62.769667015403115,200,38,20.91329772376445,0.8615724999727661,1,1524828562
50LD10138,4,2018-04-27 11:29:29,10.746,106.67038,10.769613,62.769667015403115,200,7,15.131891225646902,7.14576458425978,1,1524828569
50LD10150,0,2018-04-27 01:38:48,9.0,106.6714,10.770028,243.73189624031096,200,20,91.47878573789521,11.57821794365151,2,1524793128
50LD10150,1,2018-04-27 01:39:08,22.0,106.67065,10.769662,246.16937624479277,200,20,58.57696983335213,2.437480004481813,2,1524793148
50LD10150,2,2018-04-27 01:39:18,7.0,106.67016,10.769448,234.38320902027445,200,10,16.160519867893832,11.786167224518323,2,1524793158
50LD10150,3,2018-04-27 01:39:28,9.0,106.67004,10.769363,240.39735740519646,200,10,42.784086399484686,6.014148384922009,2,1524793168
50LD10150,4,2018-04-27 01:39:38,14.0,106.6697,10.769172,240.39735740519646,200,10,43.97540141122918,3.1639596387793176,2,1524793178
50LD10150,0,2018-04-27 11:03:28,10.0,106.66645,10.767437,238.15836077160787,200,10,67.76047070071976,5.2815260167046745,3,1524827008
50LD10150,1,2018-04-27 11:03:58,4.0,106.665924,10.767114,248.21621312042697,200,30,14.600201189074422,10.057852348819097,3,1524827038
50LD10150,2,2018-04-27 11:04:08,7.0,106.6658,10.767065,232.21135073343453,200,10,16.627824551193374,16.004862386992443,3,1524827048
50LD10150,3,2018-04-27 11:04:18,7.0,106.66568,10.766973,234.92931642637856,200,10,27.55395435185485,2.717965692944034,3,1524827058
50LD10150,4,2018-04-27 11:04:28,9.0,106.665474,10.76683,234.92931642637856,200,10,0.0,0.0,3,1524827068
50LD10151,0,2018-04-27 00:13:53,8.4,106.67041,10.769564,60.2317804448569,200,9,149.99308499534845,5.297551377783428,4,1524788033
50LD10151,1,2018-04-27 00:14:22,18.634,106.6716,10.770237,72.46095806275747,200,29,9.170396863803314,12.229177617900568,4,1524788062
50LD10151,2,2018-04-27 00:14:23,28.235,106.67168,10.770262,60.25569307708106,200,1,25.20283722616464,12.205264985676408,4,1524788063
50LD10151,3,2018-04-27 00:14:28,18.795,106.67188,10.770375,46.397854825790446,200,5,9.078948142771697,13.857838251290616,4,1524788068
50LD10151,4,2018-04-27 00:14:32,8.06,106.67194,10.7704315,46.397854825790446,200,4,25.61500596359063,17.329465378246972,4,1524788072
50LD10151,0,2018-04-27 03:30:47,13.2,106.672676,10.770842,239.26421438099993,200,4690,48.50290727096299,182.38436521078052,5,1524799847
50LD10151,1,2018-04-27 03:31:00,8.4,106.672295,10.770618,230.66689317698928,200,13,27.61156855958192,8.597321204010655,5,1524799860
50LD10151,2,2018-04-27 03:31:15,12.727,106.6721,10.77046,252.24171332756626,200,15,10.329407015888016,21.574820150576983,5,1524799875
50LD10151,3,2018-04-27 03:31:18,12.0,106.67201,10.7704315,239.63012443758802,200,3,21.559522468743054,12.611588889978236,5,1524799878
50LD10151,4,2018-04-27 03:31:27,8.8,106.67184,10.770333,244.34070368504655,200,9,9.706829822296418,4.710579247458526,5,1524799887
50LD10151,5,2018-04-27 03:31:33,6.0,106.67176,10.770295,244.34070368504655,200,6,44.773118061664135,9.348065193583068,5,1524799893
50LD10158,0,2018-04-27 00:30:22,16.0,106.66483,10.766368,55.134964700108185,200,6,72.04617323306994,1.7863404278378283,6,1524789022
50LD10158,1,2018-04-27 00:30:34,25.0,106.66537,10.76674,61.0859742417794,200,12,48.74364833536657,5.951009541671212,6,1524789034
50LD10158,2,2018-04-27 00:30:40,32.0,106.66576,10.766953,64.94551349805786,200,6,54.32612776189712,3.8595392562784667,6,1524789040
50LD10158,3,2018-04-27 00:30:46,33.0,106.66621,10.767161,60.810191199142466,200,6,52.635024829955086,4.135322298915398,6,1524789046
50LD10158,4,2018-04-27 00:30:52,31.0,106.66663,10.767393,59.47892646714487,200,6,52.078456651141494,1.3312647319975923,6,1524789052
50LD10158,5,2018-04-27 00:30:58,32.0,106.66704,10.767632,59.47892646714487,200,6,56.04008819757064,1.9801971409947328,6,1524789058
50LD10158,0,2018-04-27 00:32:22,21.0,106.67145,10.770057,62.67411622090846,200,6,67.71931386060751,1.6309176165371326,7,1524789142
50LD10158,1,2018-04-27 00:32:34,13.0,106.672,10.770338,58.53339907466642,200,12,25.01792892630593,4.140717146242039,7,1524789154
50LD10158,2,2018-04-27 00:32:46,15.0,106.672195,10.770456,53.9388003814716,200,12,30.472532065747142,4.594598693194818,7,1524789166
50LD10158,3,2018-04-27 00:32:52,16.0,106.67242,10.770618,61.40924970824747,200,6,22.426555710493247,7.470449326775871,7,1524789172
50LD10158,4,2018-04-27 00:32:58,4.0,106.6726,10.770715,61.40924970824747,200,6,8.654863528850266,12.27278727683992,7,1524789178
50LD10158,0,2018-04-27 01:28:04,14.0,106.670685,10.769715,242.47451179760378,200,3294,28.247471387744486,0.09014657282369853,8,1524792484
50LD10158,1,2018-04-27 01:28:10,13.0,106.670456,10.769597,242.89810055966976,200,6,20.397507249495945,0.4235887620659753,8,1524792490
50LD10158,2,2018-04-27 01:28:16,3.0,106.67029,10.769513,226.65224237480572,200,6,9.040578899316163,16.245858184864034,8,1524792496
50LD10158,3,2018-04-27 01:28:52,9.0,106.67023,10.769457,242.66503817943033,200,36,55.411500063061446,16.012795804624602,8,1524792532
50LD10158,4,2018-04-27 01:29:04,18.0,106.66978,10.769227,242.66503817943033,200,12,41.6683523982424,4.040891686752332,8,1524792544
50LD10158,0,2018-04-27 03:53:22,5.0,106.67262,10.770805,234.15578715027706,200,4614,9.454113537560742,118.02472624184739,9,1524801202
50LD10158,1,2018-04-27 03:53:28,2.0,106.67255,10.770755,245.71415847659085,200,6,7.798292653911591,11.55837132631379,9,1524801208
50LD10158,2,2018-04-27 03:53:34,4.0,106.672485,10.770726,244.40265676891102,200,6,11.520804677241356,1.311501707679838,9,1524801214
50LD10158,3,2018-04-27 03:53:40,5.0,106.67239,10.770681,243.63865568110472,200,6,12.207055113144094,0.7640010878062924,9,1524801220
50LD10158,4,2018-04-27 03:53:52,2.0,106.67229,10.770632,243.63865568110472,200,12,14.030909814320863,5.591722360143791,9,1524801232
50LD10158,0,2018-04-27 03:54:04,3.0,106.67217,10.770587,208.70635529254108,200,12,8.228240615610412,40.52402274870744,10,1524801244
50LD10158,1,2018-04-27 03:54:22,2.0,106.672134,10.770522,224.676566530852,200,18,6.858483437941962,15.970211238310924,10,1524801262
50LD10158,2,2018-04-27 03:54:34,4.0,106.67209,10.770478,242.42998032229949,200,12,30.35679967289592,17.753413791447485,10,1524801274
50LD10158,3,2018-04-27 03:54:58,1.0,106.671844,10.770351,237.2351336434798,200,24,12.885075673862033,5.194846678819687,10,1524801298
50LD10158,4,2018-04-27 03:55:28,1.0,106.671745,10.770288,262.5434598376519,200,30,9.36530306692413,25.308326194172082,10,1524801328
50LD10158,5,2018-04-27 03:55:40,3.0,106.67166,10.770277,244.73433808596934,200,12,9.070117872027515,17.80912175168254,10,1524801340
50LD10158,6,2018-04-27 03:55:46,5.0,106.671585,10.770242,237.33629711088224,200,6,38.35103138279204,7.398040975087099,10,1524801346
50LD10158,7,2018-04-27 03:56:04,5.0,106.67129,10.770055,254.76836063678053,200,18,14.724370234329843,17.432063525898286,10,1524801364
50LD10158,8,2018-04-27 03:56:34,6.0,106.67116,10.77002,239.91933470098283,200,30,13.908934658932317,14.849025935797698,10,1524801394
50LD10158,9,2018-04-27 03:56:40,1.0,106.67105,10.769957,244.94335905607053,200,6,12.79693160624377,5.024024355087704,10,1524801400
50LD10158,10,2018-04-27 03:56:52,1.0,106.670944,10.769908,244.94335905607053,200,12,18.116612078652626,10.868584361864094,10,1524801412
50LD10158,0,2018-04-27 03:59:40,4.0,106.66746,10.768108,238.75035808285804,200,12,61.439845953845555,0.16966951643831862,11,1524801580
50LD10158,1,2018-04-27 03:59:58,12.0,106.66698,10.76782,234.70375228534476,200,18,20.119746850112914,4.04660579751328,11,1524801598
50LD10158,2,2018-04-27 04:00:04,9.0,106.66683,10.767715,237.496874361884,200,6,12.976973616493735,2.793122076539248,11,1524801604
50LD10158,3,2018-04-27 04:00:28,5.0,106.66673,10.767652,243.83860453184556,200,24,8.530170153850502,6.341730169961551,11,1524801628
50LD10158,4,2018-04-27 04:00:34,4.0,106.66666,10.767618,236.68014049738332,200,6,18.337713084436018,7.158464034462241,11,1524801634
50LD10158,5,2018-04-27 04:00:46,7.0,106.66652,10.767527,238.14921340950247,200,12,9.018444699930333,1.4690729121191453,11,1524801646
50LD10158,6,2018-04-27 04:01:16,4.0,106.66645,10.767484,241.65832269772528,200,30,14.91564925361021,3.5091092882228168,11,1524801676
50LD10158,7,2018-04-27 04:01:34,9.0,106.66633,10.76742,239.97594481155005,200,18,26.5383328835709,1.6823778861752317,11,1524801694
50LD10158,8,2018-04-27 04:01:46,6.0,106.66612,10.7673,237.70345581569293,200,12,13.464940328719571,2.272488995857117,11,1524801706
